,Offshore mean,Offshore std,Crossing mean,Crossing std,Inshore mean,Inshore std
897,0.0012683981448467967,0.007139735073367055,0.000830836919107392,0.004446136225651874,0.0015024063899721448,0.007029759169243669
898,0.0012740335988857935,0.0071777336990580705,0.0008333682942817294,0.004469329128110163,0.0015084425069637883,0.007067197053126515
899,0.0012962707674094708,0.007276607229939017,0.0008470637377963737,0.004527648466203557,0.001530544221448468,0.007157427675954223
900,0.0012792889999999999,0.007204584625291108,0.000835255718270572,0.004481330658419479,0.001510748767409471,0.007081109115322789
901,0.0012634000821727018,0.007162801872528745,0.0008242878870292886,0.004454681946915029,0.0014943746768802226,0.007034560431570345
902,0.0012654402409470753,0.007189537308464617,0.0008258486680613669,0.00447083285424033,0.0014968082311977717,0.007053390087509076
903,0.0012651062075208915,0.007198501088609308,0.0008260512008368202,0.004480216309907514,0.001496676473537604,0.007059876616498035
904,0.0012632926018105852,0.007197801791791889,0.0008253336290097628,0.0044848571759426355,0.001494966229805014,0.007058858383378875
905,0.0012497123621169918,0.007143042113741816,0.0008165211938633195,0.004458058827443867,0.0014809429902506964,0.007012370717088773
906,0.0012435419637883008,0.007133295656787325,0.000812271011157601,0.004455994233977893,0.0014753808300835653,0.007006111778069133
907,0.0012532805487465183,0.00717686186505577,0.0008183759065550906,0.004483211334680478,0.0014849828955431753,0.007047388906116688
908,0.0012551910334261838,0.007190696994068844,0.0008192220376569038,0.004489267225563667,0.0014876835891364903,0.007061254700571369
909,0.001254632008356546,0.007193779506031324,0.0008184622747559274,0.004488428659554172,0.0014880398467966573,0.007065167515338079
910,0.0012486892116991644,0.007179466852376412,0.0008143220376569038,0.004478761526203659,0.0014831960473537604,0.007052616830462301
911,0.0012527517479108635,0.007205301999677933,0.0008166146039051605,0.004491818543248337,0.001487417955431755,0.007072086691625721
912,0.001266274839832869,0.007266170212151083,0.0008250041868898187,0.00452462002011109,0.0015000922325905295,0.007119538384831765
913,0.0012552585194986073,0.007215265612121617,0.0008175923138075314,0.0044912222214598735,0.0014869788189415041,0.007063045373074741
914,0.0012450840459610028,0.007183946392217286,0.0008105891436541142,0.004471663912420261,0.0014764925779944288,0.007029032546672502
915,0.0012577375013927575,0.007237170190451638,0.0008188548619246862,0.00450724488768807,0.00149022317270195,0.007083403366983515
916,0.0012579564610027856,0.007226906244505722,0.000819045329149233,0.004504164647548871,0.0014903120752089137,0.007078136373655881
917,0.0012458172729805012,0.007178812638370152,0.0008109642928870294,0.0044782516415636546,0.0014786912562674095,0.007037488772228663
918,0.0012405699275766016,0.007160291154066426,0.0008082701757322177,0.004472609790410436,0.0014730433621169916,0.007015724124586154
